bus,tech,gid,year,level,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
100092,OilST,476,2051,62.11,44.574181320833,-69.5091403468359,101,345.0,ALBION ROAD,6,0,0.0,0,0,ISONE
100182,Biomass,0,2031,38.31,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
100182,Biomass,0,2036,38.31,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
100182,Biomass,0,2051,38.31,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE
100185,Biomass,1,2031,52.55,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
100185,Biomass,1,2036,52.55,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
100185,Biomass,1,2051,52.55,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE
100211,Biomass,2,2031,129.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
100211,Biomass,2,2036,129.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
100211,Biomass,2,2051,129.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
103028,Biomass,3,2031,552.16,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
103028,Biomass,3,2036,552.16,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
103028,Biomass,3,2051,552.16,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
103028,OilST,477,2051,25.31,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE
104095,CoalST,228,2036,157.15,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE
104095,CoalST,228,2051,157.15,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE
104494,Biomass,4,2031,23.41,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
104494,Biomass,4,2036,23.41,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
104494,Biomass,4,2051,23.41,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
104494,CoalST,229,2036,498.98,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
104494,CoalST,229,2051,498.98,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE
106012,Biomass,5,2031,114.15,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
106012,Biomass,5,2036,114.15,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
106012,Biomass,5,2051,114.15,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
106012,Wind,914,2031,37.82,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
106012,Wind,914,2036,37.82,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
106012,Wind,914,2051,37.82,42.8739,-71.43917,101,230.0,N.LITCHFLD1,6,0,0.0,0,0,ISONE
111193,CoalST,230,2036,595.09,41.7694,-70.5097,101,345.0,CANAL,6,0,0.0,0,1,ISONE
111193,CoalST,230,2051,595.09,41.7694,-70.5097,101,345.0,CANAL,6,0,0.0,0,1,ISONE
113265,OilST,479,2051,45.32,42.360306919,-71.7759062629999,101,345.0,WACHUSETT,6,0,0.0,0,0,ISONE
113952,Biomass,7,2031,40.0,42.744239406,-71.1136983409999,101,345.0,WARD HILL,6,0,0.0,0,0,ISONE
113952,Biomass,7,2036,40.0,42.744239406,-71.1136983409999,101,345.0,WARD HILL,6,0,0.0,0,0,ISONE
113952,Biomass,7,2051,40.0,42.744239406,-71.1136983409999,101,345.0,WARD HILL,6,0,0.0,0,0,ISONE
114476,Biomass,8,2031,36.41,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE
114476,Biomass,8,2036,36.41,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE
114476,Biomass,8,2051,36.41,42.505261779,-71.0416548699999,101,345.0,WAKEFLD JCT,6,0,0.0,0,0,ISONE
125002,CoalST,231,2036,1193.2,41.5716331786993,-73.9746583079408,7,345.0,ROSETON,6,0,0.0,0,0,NYISO
125002,CoalST,231,2051,1193.2,41.5716331786993,-73.9746583079408,7,345.0,ROSETON,6,0,0.0,0,0,NYISO
126261,CoalST,232,2036,573.6,41.2044,-73.9689,7,345.0,BOWLINE2,6,0,0.0,0,0,NYISO
126261,CoalST,232,2051,573.6,41.2044,-73.9689,7,345.0,BOWLINE2,6,0,0.0,0,0,NYISO
126283,CoalST,233,2036,514.6,40.617187,-74.195033,10,345.0,GOTHLS,6,0,0.0,0,1,NYISO
126283,CoalST,233,2051,514.6,40.617187,-74.195033,10,345.0,GOTHLS,6,0,0.0,0,1,NYISO
129202,Wind,928,2031,54.77,40.618464,-73.648005,11,138.0,BARRETT1,6,0,0.0,0,1,NYISO
129202,Wind,928,2036,54.77,40.618464,-73.648005,11,138.0,BARRETT1,6,0,0.0,0,1,NYISO
129202,Wind,928,2051,54.77,40.618464,-73.648005,11,138.0,BARRETT1,6,0,0.0,0,1,NYISO
129460,Wind,929,2031,136.0,40.8194537100001,-72.938749026,11,138.0,SILLS RD,6,0,0.0,0,0,NYISO
129460,Wind,929,2036,136.0,40.8194537100001,-72.938749026,11,138.0,SILLS RD,6,0,0.0,0,0,NYISO
129460,Wind,929,2051,136.0,40.8194537100001,-72.938749026,11,138.0,SILLS RD,6,0,0.0,0,0,NYISO
130755,Solar,616,2031,40.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
130755,Solar,616,2036,40.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
130755,Solar,616,2051,40.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
130755,Wind,933,2031,225.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
130755,Wind,933,2036,225.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
130755,Wind,933,2051,225.0,42.136550931,-75.9822064009999,3,345.0,OAKDL345,6,0,0.0,0,0,NYISO
131122,Solar,619,2031,20.0,42.72638578,-78.19162575,3,230.0,WTHRS230,6,0,0.0,0,0,NYISO
131122,Solar,619,2036,20.0,42.72638578,-78.19162575,3,230.0,WTHRS230,6,0,0.0,0,0,NYISO
131122,Solar,619,2051,20.0,42.72638578,-78.19162575,3,230.0,WTHRS230,6,0,0.0,0,0,NYISO
136154,CoalST,234,2036,761.7,43.4556723932378,-76.531453275925,3,345.0,OSWEGO,6,0,0.0,0,0,NYISO
136154,CoalST,234,2051,761.7,43.4556723932378,-76.531453275925,3,345.0,OSWEGO,6,0,0.0,0,0,NYISO
136158,CoalST,235,2036,630.6,43.495,-76.4508,3,345.0,INDEPNDC,6,0,0.0,0,0,NYISO
136158,CoalST,235,2051,630.6,43.495,-76.4508,3,345.0,INDEPNDC,6,0,0.0,0,0,NYISO
137200,Solar,629,2031,75.03,43.157565662,-75.2271199389999,5,345.0,EDIC,6,0,0.0,0,0,NYISO
137200,Solar,629,2036,75.03,43.157565662,-75.2271199389999,5,345.0,EDIC,6,0,0.0,0,0,NYISO
137200,Solar,629,2051,75.03,43.157565662,-75.2271199389999,5,345.0,EDIC,6,0,0.0,0,0,NYISO
146750,CoalST,236,2036,586.0,41.201686151,-73.994233395,7,345.0,WHAV345,6,0,0.0,0,0,NYISO
146750,CoalST,236,2051,586.0,41.201686151,-73.994233395,7,345.0,WHAV345,6,0,0.0,0,0,NYISO
146754,Solar,636,2031,22.5,41.428318125,-74.417886285,7,345.0,MDTN TAP,6,0,0.0,0,0,NYISO
146754,Solar,636,2036,22.5,41.428318125,-74.417886285,7,345.0,MDTN TAP,6,0,0.0,0,0,NYISO
146754,Solar,636,2051,22.5,41.428318125,-74.417886285,7,345.0,MDTN TAP,6,0,0.0,0,0,NYISO
147834,Solar,640,2031,103.02,43.1045221693489,-79.025126593413,1,345.0,NIAG 345,6,0,0.0,0,0,NYISO
147834,Solar,640,2036,103.02,43.1045221693489,-79.025126593413,1,345.0,NIAG 345,6,0,0.0,0,0,NYISO
147834,Solar,640,2051,103.02,43.1045221693489,-79.025126593413,1,345.0,NIAG 345,6,0,0.0,0,0,NYISO
149001,Wind,959,2031,41.75,43.055457279,-77.3842033159999,2,345.0,PANNELL3,6,0,0.0,0,0,NYISO
149001,Wind,959,2036,41.75,43.055457279,-77.3842033159999,2,345.0,PANNELL3,6,0,0.0,0,0,NYISO
149001,Wind,959,2051,41.75,43.055457279,-77.3842033159999,2,345.0,PANNELL3,6,0,0.0,0,0,NYISO
149024,CoalST,237,2036,180.12065530511956,43.2779279065279,-77.3073040633849,2,115.0,GINNA115,6,0,0.0,0,0,NYISO
149024,CoalST,237,2051,579.6,43.2779279065279,-77.3073040633849,2,115.0,GINNA115,6,0,0.0,0,0,NYISO
200074,CoalST,238,2036,1125.0,41.49712,-75.6092,229,500.0,LACK,6,0,0.0,0,0,PJM
200074,CoalST,238,2051,1125.0,41.49712,-75.6092,229,500.0,LACK,6,0,0.0,0,0,PJM
200595,CoalST,239,2051,85.0,41.514,-80.0073,226,345.0,26WAYNE,6,0,0.0,0,0,PJM
200769,CoalST,240,2036,620.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
200769,CoalST,240,2051,620.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
200769,Wind,973,2031,38.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
200769,Wind,973,2036,38.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
200769,Wind,973,2051,38.0,40.5175,-79.194,226,345.0,26HOMER CY,6,0,0.0,0,0,PJM
200793,CoalST,241,2036,502.8482670528674,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
200793,CoalST,241,2051,525.7,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
200793,Wind,974,2031,542.6,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
200793,Wind,974,2036,542.6,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
200793,Wind,974,2051,542.6,40.40664,-79.0311,226,230.0,26SEWARD 2,6,0,0.0,0,0,PJM
204508,CoalST,242,2036,94.0,40.4218,-75.9285,227,230.0,27N.TEMPLE,6,0,0.0,0,0,PJM
204508,CoalST,242,2051,94.0,40.4218,-75.9285,227,230.0,27N.TEMPLE,6,0,0.0,0,0,PJM
206229,Solar,679,2031,57.74,40.5157,-74.8455,228,230.0,28E FLEM,6,0,0.0,0,0,PJM
206229,Solar,679,2036,57.74,40.5157,-74.8455,228,230.0,28E FLEM,6,0,0.0,0,0,PJM
206229,Solar,679,2051,57.74,40.5157,-74.8455,228,230.0,28E FLEM,6,0,0.0,0,0,PJM
206236,Solar,681,2031,10.5,40.5689,-75.1623,228,230.0,28GILBERT,6,0,0.0,0,0,PJM
206236,Solar,681,2036,10.5,40.5689,-75.1623,228,230.0,28GILBERT,6,0,0.0,0,0,PJM
206236,Solar,681,2051,10.5,40.5689,-75.1623,228,230.0,28GILBERT,6,0,0.0,0,0,PJM
206247,Solar,683,2031,10.0,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206247,Solar,683,2036,10.0,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206247,Solar,683,2051,10.0,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206247,Wind,982,2031,10.3,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206247,Wind,982,2036,10.3,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206247,Wind,982,2051,10.3,40.8403,-74.8721,228,230.0,28POHATCNG,6,0,0.0,0,0,PJM
206255,Solar,684,2031,19.7,40.9073,-74.5974,228,230.0,28W WHRTN,6,0,0.0,0,0,PJM
206255,Solar,684,2036,19.7,40.9073,-74.5974,228,230.0,28W WHRTN,6,0,0.0,0,0,PJM
206255,Solar,684,2051,19.7,40.9073,-74.5974,228,230.0,28W WHRTN,6,0,0.0,0,0,PJM
206260,Solar,686,2031,13.0,41.0558,-74.7404,228,230.0,28NEWTON,6,0,0.0,0,0,PJM
206260,Solar,686,2036,13.0,41.0558,-74.7404,228,230.0,28NEWTON,6,0,0.0,0,0,PJM
206260,Solar,686,2051,13.0,41.0558,-74.7404,228,230.0,28NEWTON,6,0,0.0,0,0,PJM
206263,Solar,687,2031,31.4,40.7068,-75.1657,228,230.0,28MO PARK,6,0,0.0,0,0,PJM
206263,Solar,687,2036,31.4,40.7068,-75.1657,228,230.0,28MO PARK,6,0,0.0,0,0,PJM
206263,Solar,687,2051,31.4,40.7068,-75.1657,228,230.0,28MO PARK,6,0,0.0,0,0,PJM
206286,Solar,688,2031,36.9,40.2544,-74.119,228,230.0,28ATLANTIC,6,0,0.0,0,0,PJM
206286,Solar,688,2036,36.9,40.2544,-74.119,228,230.0,28ATLANTIC,6,0,0.0,0,0,PJM
206286,Solar,688,2051,36.9,40.2544,-74.119,228,230.0,28ATLANTIC,6,0,0.0,0,0,PJM
206287,Solar,689,2031,71.9,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206287,Solar,689,2036,71.9,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206287,Solar,689,2051,71.9,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206287,Wind,984,2031,17.0,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206287,Wind,984,2036,17.0,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206287,Wind,984,2051,17.0,40.0626,-74.549,228,230.0,28COOKSTOW,6,0,0.0,0,0,PJM
206294,Solar,691,2031,36.0,40.1141,-74.1924,228,230.0,28LARRABEE,6,0,0.0,0,1,PJM
206294,Solar,691,2036,36.0,40.1141,-74.1924,228,230.0,28LARRABEE,6,0,0.0,0,1,PJM
206294,Solar,691,2051,36.0,40.1141,-74.1924,228,230.0,28LARRABEE,6,0,0.0,0,1,PJM
206304,Solar,694,2031,34.1,40.3005,-74.377,228,230.0,28ENGLISH,6,0,0.0,0,0,PJM
206304,Solar,694,2036,34.1,40.3005,-74.377,228,230.0,28ENGLISH,6,0,0.0,0,0,PJM
206304,Solar,694,2051,34.1,40.3005,-74.377,228,230.0,28ENGLISH,6,0,0.0,0,0,PJM
206305,Wind,985,2031,20.0,40.4802,-74.3541,228,230.0,28RAR RVR,6,0,0.0,0,0,PJM
206305,Wind,985,2036,20.0,40.4802,-74.3541,228,230.0,28RAR RVR,6,0,0.0,0,0,PJM
206305,Wind,985,2051,20.0,40.4802,-74.3541,228,230.0,28RAR RVR,6,0,0.0,0,0,PJM
206313,Solar,696,2031,10.0,40.4904,-74.2818,228,230.0,28WERNER,6,0,0.0,0,0,PJM
206313,Solar,696,2036,10.0,40.4904,-74.2818,228,230.0,28WERNER,6,0,0.0,0,0,PJM
206313,Solar,696,2051,10.0,40.4904,-74.2818,228,230.0,28WERNER,6,0,0.0,0,0,PJM
206735,Solar,697,2031,15.0,40.3689,-74.9307,228,230.0,28ROCKTOWN,6,0,0.0,0,0,PJM
206735,Solar,697,2036,15.0,40.3689,-74.9307,228,230.0,28ROCKTOWN,6,0,0.0,0,0,PJM
206735,Solar,697,2051,15.0,40.3689,-74.9307,228,230.0,28ROCKTOWN,6,0,0.0,0,0,PJM
207922,CoalST,243,2051,749.0,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
207922,Wind,986,2031,162.2,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
207922,Wind,986,2036,162.2,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
207922,Wind,986,2051,162.2,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
208009,CoalST,244,2036,1508.1,41.4827,-75.5643,229,230.0,LACK,6,0,0.0,0,0,PJM
208009,CoalST,244,2051,1508.1,41.4827,-75.5643,229,230.0,LACK,6,0,0.0,0,0,PJM
216900,Wind,992,2031,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
216900,Wind,992,2036,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
216900,Wind,992,2051,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
218304,Solar,718,2031,10.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
218304,Solar,718,2036,10.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
